GBPU,Region,PopnEst2018,Female_Popn_2018,Trend,PopIso,CalcRank,CalcSRank,Rank_Number,Overal_Threat,ResidentialCalc,Residential_1a,Residential_1a_subTFail,Residential_1b,Residential_1b_subTFail,AgricultureCalc,Agriculture_2.1,Agriculture_2.1_subTFail,Agriculture_2.3b,Agriculture_2.3b_subTFail,EnergyCalc,Energy_3.1,Energy_3.1_subTFail,Energy_3.2,Energy_3.2_subTFail,Energy_3.3,Energy_3.3_subTFail,Energy_3all,Energy_3all_subTFail,TransportationCalc,Transport_4.1,Transport_4.1_subTFail,BioUseCalc,BioUse_5.1a,BioUse_5.1a_subTFail,BioUse_5.1b,BioUse_5.1b_subTFail,BioUse_5.3,BioUse_5.3_subTFail,HumanIntrusionCalc,HumanIntrusion_6,HumanIntrusion_6_subTFail,ClimateChangeCalc,ClimateChange_11,ClimateChange_11_subTFail
Alta,Northeast,132,73,0,CC,M3,M3,3,Medium,Negligible,0.0443,Negligible,0.1168,Negligible,Low,5.1014,Low,0.2228,Low,Negligible,0,Negligible,0,Negligible,0,Negligible,0,Negligible,Medium,1.3306,Medium,Negligible,0.91,Negligible,0.7679,Negligible,21.6512,Negligible,Low,58.5676,Low,Negligible,0,Negligible
Babine,Skeena,313,172,0,DC,M3M4,M3,3.5,Medium,Negligible,0.1554,Negligible,0.4817,Negligible,Low,2.2572,Low,0.2153,Low,Negligible,0,Negligible,0,Negligible,0,Negligible,0,Negligible,Low,0.9006,Low,Low,1.71,Low,0.9132,Negligible,8.3947,Negligible,Low,56.2252,Low,Negligible,15.2137,Negligible
Blackwater-West Chilcotin,Cariboo,53,29,0,BC,M3,M3,3,Medium,Negligible,0.0633,Negligible,0.0287,Negligible,Low,1.0496,Negligible,0.222,Low,Low,0,Negligible,1,Low,0,Negligible,1,Negligible,Medium,1.2854999999999999,Medium,Negligible,0.66,Negligible,0.687,Negligible,20.5391,Negligible,Low,34.4922,Low,Negligible,18.1058,Negligible
Bulkley-Lakes,Skeena,439,241,0,DC,M3M4,M3,3.5,Medium,Low,0.4653,Low,1.4652,Low,Low,1.3395000000000001,Low,0.2683,Low,Low,2,Low,2,Low,0,Negligible,4,Low,Low,0.9696,Low,Low,1.96,Low,0.8823,Negligible,5.2297,Negligible,Low,61.8786,Low,Negligible,-28.2837,Negligible
Cassiar,Skeena,611,336,0,ED,M5,M5,5,Low,Negligible,0.0465,Negligible,0.0244,Negligible,Negligible,0,Negligible,0.0011,Negligible,Low,0,Negligible,1,Low,0,Negligible,1,Negligible,Negligible,0.1019,Negligible,Negligible,1.05,Negligible,0.311,Negligible,2.6552,Negligible,Negligible,19.0198,Negligible,Negligible,8.3705,Negligible
Central Monashee,Thompson-Okanagan,147,81,0,CB,M2,M2,2,High,Low,0.2681,Negligible,1.0852,Low,Low,0.8473,Negligible,0.5255,Low,Negligible,0,Negligible,0,Negligible,0,Negligible,0,Negligible,Medium,1.5061,Medium,Medium,2.36,Medium,4.0244,Low,11.25,Negligible,Low,90.085,Low,Negligible,-53.7931,Negligible
Central Rockies,Kootenay-Boundary,169,93,0,CC,M4,M4,4,Low,Negligible,0.2662,Negligible,0.451,Negligible,Negligible,0.8003,Negligible,0,Negligible,Negligible,0,Negligible,0,Negligible,0,Negligible,0,Negligible,Low,0.6379,Low,Negligible,0.95,Negligible,0.6138,Negligible,13.18,Negligible,Low,49.0914,Low,Negligible,0,Negligible
Central Selkirk,Kootenay-Boundary,188,103,0,DB,M3,M3,3,Medium,Low,1.8854,Low,3.2111,Low,Negligible,0.9571,Negligible,0.0751,Negligible,Low,0,Negligible,0,Negligible,1,Low,1,Negligible,Low,1.0393,Low,Low,1.11,Negligible,2.2524,Low,14.23,Negligible,Low,99.3987,Low,Negligible,0,Negligible
Central-South Purcells,Kootenay-Boundary,176,97,0,CB,M2,M2,2,High,Low,0.942,Low,4.2275,Low,Low,3.7465,Low,0.2179,Low,Negligible,0,Negligible,0,Negligible,0,Negligible,0,Negligible,Medium,1.3049,Medium,High,3.77,High,6.6127,Low,25.5572,Negligible,Low,88.2708,Low,Negligible,0,Negligible
Columbia-Shuswap,Thompson-Okanagan,318,175,0,DB,M2M3,M2,2.5,High,Low,0.3115,Negligible,0.9326,Low,Low,1.5651000000000002,Low,0.2481,Low,Low,0,Negligible,1,Low,0,Negligible,1,Negligible,Medium,1.4154,Medium,Negligible,0.96,Negligible,1.8826,Negligible,15.95,Negligible,Low,79.9368,Low,Negligible,-58.5283,Negligible
